"","Estimate","Std. Error","t value","Pr(>|t|)","model"
"(Intercept)",-5668.26060015473,23516.5971255012,-0.241032347065558,0.809574882675395,"Main Model"
"cs_ticks",4.79404672425375,0.0232866585957827,205.870958451805,0,"Main Model"
"opWRITE",63845.9105139878,6241.30260747151,10.2295809912433,1.58311285384891e-23,"Main Model"
"pid",-2543.88178758959,2746.06172083453,-0.926374585206522,0.354454175163982,"Main Model"
"(Intercept)1",-10393.6614804729,23521.8386334497,-0.441872833261101,0.658668005003871,"Interaction Model"
"cs_ticks1",4.84708585312922,0.0307302365077447,157.730183817741,0,"Interaction Model"
"opWRITE1",70035.0126842891,6652.7660274414,10.5272021284693,9.27622969380398e-25,"Interaction Model"
"pid1",-2402.12022642814,2739.21104033268,-0.876938721061962,0.380711223010017,"Interaction Model"
"cs_ticks:opWRITE",-0.123698017736023,0.0469340588532266,-2.63557043133334,0.00851765098999122,"Interaction Model"
