op,pid,latency_ticks,cs_ticks,flags
3,8,39345,20366,0
2,8,28718,10267,0
3,8,19048,0,0
2,8,28765,10267,0
3,8,18455,0,0
2,8,28718,10267,0
3,8,18455,0,0
2,8,38776,20302,0
3,8,39255,20276,0
2,8,28718,10267,0
3,8,18455,0,0
2,8,38740,20266,0
3,8,18473,0,0
2,8,39441,20484,0
3,8,18455,0,0
2,9,2432991,865948,0
3,9,18859,0,0
2,9,30314,11341,0
3,9,18503,0,0
2,9,39259,20709,0
3,9,39422,20408,0
2,9,38786,20266,0
3,9,39329,20348,0
2,9,49523,30497,0
3,9,18475,0,0
2,9,38873,20353,0
3,9,18475,0,0
2,9,28874,10376,0
3,9,19083,0,0
2,9,49619,30544,0
3,9,18455,0,0
2,9,49615,30589,0
3,9,18475,0,0
2,9,39604,20600,0
3,9,18455,0,0
2,9,49559,30553,0
3,9,18475,0,0
2,9,39536,20554,0
3,9,18455,0,0
2,9,38853,20353,0
2,10,2445544,881914,0
3,10,41427,21647,0
2,10,29556,10383,0
3,10,18455,0,0
2,10,39585,20596,0
3,10,39510,20320,0
2,10,39597,20591,0
3,10,39402,20276,0
2,10,50251,30739,0
3,10,18622,0,0
2,10,28993,10447,0
3,10,19070,0,0
2,10,28986,10441,0
3,10,18455,0,0
2,10,39354,20516,0
3,10,18555,0,0
2,10,38829,20318,0
3,10,39211,20250,0
2,10,49438,30437,0
3,10,18455,0,0
2,10,38722,20250,0
3,10,18455,0,0
2,10,28784,10311,0
3,10,18455,0,0
2,7,2427208,902257,0
3,7,40598,20851,0
2,7,39786,20754,0
3,7,18474,0,0
2,7,28834,10307,0
3,7,18455,0,0
2,7,38712,20240,0
3,7,18455,0,0
2,7,28762,10290,0
3,7,18455,0,0
2,7,49491,30489,0
3,7,18473,0,0
2,7,38784,20288,0
3,7,18472,0,0
2,7,39314,20257,0
3,7,39276,20307,0
2,7,49442,30417,0
3,7,18455,0,0
2,7,38820,20324,0
3,7,18473,0,0
2,7,39527,20548,0
3,7,18455,0,0
2,7,28762,10290,0
3,7,18455,0,0
2,7,49491,30489,0
3,7,18473,0,0
2,8,2459384,952312,0
3,8,18883,0,0
2,8,39951,20887,0
3,8,39367,20388,0
2,8,28771,10267,0
3,8,39201,20240,0
2,8,38767,20283,0
3,8,39235,20256,0
2,8,28727,10267,0
3,8,18455,0,0
2,8,38765,20269,0
3,8,18473,0,0
2,8,29361,10306,0
3,8,18460,0,0
2,8,38778,20260,0
3,8,18455,0,0
2,8,28761,10289,0
