"","Estimate","Std. Error","t value","Pr(>|t|)","model"
"(Intercept)",-87601.9329914319,1052230.83091054,-0.0832535318468345,0.933659351535177,"Main Model"
"cs_ticks",0.000249097902326873,0.000670577721780917,0.3714676080579,0.71033368742134,"Main Model"
"opWRITE",-299811.722307681,273755.173473292,-1.09518194123528,0.273585767342013,"Main Model"
"pid",57733.9041206149,122494.530666511,0.47131821973174,0.637471526568259,"Main Model"
"(Intercept)1",-79495.5742457824,1051165.35361145,-0.0756261362426594,0.93972508385582,"Interaction Model"
"cs_ticks1",0.000248147624811995,0.000669894533634901,0.370427899247851,0.711107986727116,"Interaction Model"
"opWRITE1",-389929.780120205,276673.544594744,-1.40934971101539,0.158907351451426,"Interaction Model"
"pid1",56774.7789389432,122370.520044507,0.463957977119765,0.642734873684112,"Interaction Model"
"cs_ticks:opWRITE",2.62229146569958,1.22040393502083,2.14870780931629,0.0317927764902004,"Interaction Model"
